
screws_spawned,screws_collected,forest_fish_collisions,forest_out_of_bounds,forest_5_screws_collected,forest_approaches,target_rt_median,target_rt_cv,forest_keys,forest_key_gap_mean,forest_key_gap_cv,river_fish_collisions,river_out_of_bounds,river_win,river_approaches,river_keys,river_key_gap_mean,river_key_gap_cv,dwarf_enters,dwarf_wm_rt_median,dwarf_wm_rt_cv,dwarf_correct,dwarf_incorrect,noise
56,22,2,3,1,81,2.410941311101518,0.7614405800269972,212,1.363867379901759,1.8417945979455705,4,0,0,18,133,0.3240449452025984,1.4982084675859226,2,0.5848795253023837,1.2850325489998253,6,6,0
40,11,2,2,1,66,3.0087860247237344,0.17797246376155357,212,1.2940907020087185,4.3626590303524395,1,0,0,25,117,0.8965982210615819,3.735852861434033,3,0.9380625417231023,1.124967411753358,7,4,0
58,33,5,2,1,97,3.658529386280794,0.47865701297208296,223,1.198066239294041,3.7057364177050265,4,4,0,30,142,0.9495604985025531,0.9979161936492115,0,0.0,0.0,0,0,1
63,39,3,1,1,88,3.801727596352072,0.6098953085961337,252,1.2585606569616061,2.0721842635276575,1,0,1,31,145,0.9194260437903209,4.660936486385168,0,0.0,0.0,0,0,1
64,54,3,3,1,98,2.6747307856705014,0.7312112125738538,210,2.184359694330483,9.787134523448799,2,2,1,21,118,0.6752322747986205,5.129250470731636,0,0.0,0.0,0,0,1
61,26,0,3,1,80,3.669871238466719,0.5845696933393405,215,1.0615954209076628,7.2016088172143355,0,0,1,21,133,0.6424676781828673,3.4867027385588196,0,0.0,0.0,0,0,0
55,28,4,5,1,86,3.943482270514971,0.9875742806073061,233,2.173714559688489,12.619497028810594,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
64,26,6,4,1,103,5.015302094294277,0.5502956328099242,216,1.8220211947812257,1.319833954489332,2,1,0,17,105,0.6527437104446246,3.6699316062279648,0,0.0,0.0,0,0,0
79,36,3,3,1,84,5.093181998327683,0.5537227898022928,214,1.6137355391476014,5.71257426157451,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
72,59,2,3,1,89,3.7520378367777907,0.9579440599800703,228,2.0194113030116285,7.62481348561624,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,1
71,60,5,6,1,84,3.022839622177211,0.5264612149985523,172,1.0895712755295726,1.3877281893231757,3,0,0,25,112,1.1220965260640452,3.887596817914042,0,0.0,0.0,0,0,0
46,13,1,3,1,79,3.8115464742819545,0.49771135949478906,212,1.3667410772795305,2.035871751702476,4,0,1,18,134,0.7452055830869516,1.0934995245405261,0,0.0,0.0,0,0,0
0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3,1,0,21,122,0.6625441924462319,1.5071132319791691,5,0.8844750831948277,1.0933382881677496,5,6,1
59,30,2,2,1,89,4.097028729747352,0.4538833295632981,203,2.063027550947042,5.03804773553304,0,0,0,0,0,0.0,0.0,4,1.2104054066751455,1.7178549049989158,10,6,1
50,17,1,0,1,70,3.586825156492027,0.4233540069788294,183,1.608949269692638,1.4039132242029868,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
67,47,3,2,1,98,5.1185460317568765,0.6409456999062753,233,2.5537542167012584,4.673227915125959,0,1,0,37,146,0.9781401236304575,1.7369361466658204,0,0.0,0.0,0,0,1
61,41,1,4,1,83,3.21964996815034,0.8426331220545737,216,1.4147639451373468,2.421606653708638,1,0,0,21,115,0.7983731221551911,1.9319613102766373,0,0.0,0.0,0,0,1
